# DERIVED from cov_MOTOR. Coupling is the absolute correlation with a zero
# diagonal. The eigenvector column is Eq 3 and is what panel B draws. The
# strength column is Eq 1 on the same matrix and is carried as a check. No
"# threshold is applied, so every one of the 4950 pairs contributes."
region_index,rank_by_share,share_p_i_eigenvector,share_p_i_strength,log2_p_i_N
1,45,0.0100028793,0.0106874990,0.000415
2,59,0.0085011316,0.0090494028,-0.234273
3,38,0.0107092826,0.0112428615,0.098862
4,53,0.0091515579,0.0101504087,-0.127911
5,83,0.0061570382,0.0071685754,-0.699692
6,73,0.0074756372,0.0083754993,-0.419732
7,72,0.0075232230,0.0087178810,-0.410577
8,90,0.0053013188,0.0054050612,-0.915577
9,85,0.0058012152,0.0062446046,-0.785573
10,100,0.0038627641,0.0048417807,-1.372295
11,96,0.0049472556,0.0056705072,-1.015300
12,29,0.0125244697,0.0126120667,0.324750
13,93,0.0051916404,0.0058959003,-0.945738
14,30,0.0122774558,0.0119252427,0.296012
15,68,0.0079077528,0.0083876959,-0.338660
16,15,0.0145899653,0.0140630881,0.544976
17,13,0.0152487651,0.0145232713,0.608692
18,19,0.0136838607,0.0128435231,0.452475
19,31,0.0122545131,0.0118870772,0.293313
20,7,0.0163210020,0.0153455254,0.706730
21,17,0.0145275712,0.0139399151,0.538794
22,86,0.0057529014,0.0060622640,-0.797638
23,24,0.0133160261,0.0127633977,0.413164
24,49,0.0093602490,0.0092562793,-0.095381
25,18,0.0140875260,0.0132965519,0.494418
26,37,0.0113825149,0.0107560690,0.186819
27,48,0.0093774362,0.0089084326,-0.092735
28,65,0.0081447152,0.0080283670,-0.296064
29,76,0.0070357715,0.0069800037,-0.507219
30,58,0.0086951520,0.0085432890,-0.201717
31,41,0.0105528781,0.0103333450,0.077637
32,69,0.0076941297,0.0077724352,-0.378170
33,26,0.0129495203,0.0120745263,0.372899
34,34,0.0117423548,0.0114151754,0.231722
35,77,0.0068975461,0.0075331914,-0.535845
36,40,0.0106744141,0.0103699659,0.094157
37,94,0.0051719086,0.0051693159,-0.951231
38,32,0.0119767729,0.0115922081,0.260239
39,10,0.0156300162,0.0148563927,0.644319
40,4,0.0166837460,0.0159596032,0.738443
41,14,0.0146219965,0.0138078920,0.548140
42,39,0.0106972922,0.0101189614,0.097246
43,2,0.0167439272,0.0161036126,0.743638
44,1,0.0175729136,0.0166968886,0.813353
45,25,0.0131212140,0.0128129876,0.391901
46,67,0.0079184593,0.0076841190,-0.336708
47,27,0.0128631126,0.0128135842,0.363240
48,50,0.0093574072,0.0092361725,-0.095819
49,92,0.0051960898,0.0053624697,-0.944502
50,82,0.0063388846,0.0063526799,-0.657699
51,78,0.0068626186,0.0078599432,-0.543169
52,55,0.0090919837,0.0097062700,-0.137333
53,66,0.0081438066,0.0090976250,-0.296225
54,51,0.0093138333,0.0100116501,-0.102553
55,80,0.0066543488,0.0077978039,-0.587631
56,61,0.0082813336,0.0094613240,-0.272065
57,75,0.0070635728,0.0076781514,-0.501530
58,88,0.0054647950,0.0055761046,-0.871761
59,56,0.0087850532,0.0086794796,-0.186877
60,89,0.0054503402,0.0058130007,-0.875582
61,97,0.0044981618,0.0055086282,-1.152593
62,79,0.0067093243,0.0070246877,-0.575761
63,42,0.0105013443,0.0106493757,0.070574
64,98,0.0041641634,0.0048209626,-1.263901
65,52,0.0093001232,0.0093675670,-0.104678
66,81,0.0066022778,0.0068340579,-0.598964
67,23,0.0133768984,0.0129007708,0.419744
68,22,0.0134272238,0.0127180219,0.425161
69,21,0.0135901423,0.0130974193,0.442561
70,6,0.0163528111,0.0152950834,0.709539
71,3,0.0167334509,0.0161599272,0.742735
72,28,0.0127049104,0.0122914164,0.345386
73,44,0.0100113504,0.0097990877,0.001637
74,8,0.0161027655,0.0152110476,0.687308
75,57,0.0087773043,0.0090131220,-0.188150
76,33,0.0119253711,0.0112705620,0.254034
77,87,0.0056308144,0.0059822035,-0.828584
78,64,0.0082067298,0.0080637948,-0.285121
79,74,0.0073669329,0.0073014693,-0.440864
80,11,0.0155148228,0.0144426536,0.633647
81,62,0.0082226256,0.0082605215,-0.282329
82,20,0.0136168977,0.0128027476,0.445398
83,35,0.0115330033,0.0115235780,0.205768
84,46,0.0098014004,0.0103172197,-0.028940
85,47,0.0094726547,0.0099841839,-0.078159
86,43,0.0101479349,0.0105728094,0.021186
87,91,0.0052951661,0.0053383451,-0.917252
88,63,0.0082112849,0.0088636641,-0.284320
89,12,0.0153317369,0.0149077176,0.616521
90,54,0.0091434597,0.0093076790,-0.129188
91,16,0.0145349940,0.0139738301,0.539530
92,5,0.0163564185,0.0156572935,0.709857
93,9,0.0158765800,0.0153594961,0.666900
94,36,0.0115288371,0.0113745403,0.205247
95,60,0.0083217901,0.0088112442,-0.265034
96,70,0.0076764070,0.0078144500,-0.381497
97,99,0.0040620519,0.0044490835,-1.299719
98,84,0.0060891400,0.0061625139,-0.715690
99,95,0.0050011406,0.0054504495,-0.999671
100,71,0.0076506924,0.0079978538,-0.386338
