# DERIVED. The coupling vector of all 270 muscles rebuilt from the degree
"# counts, then Eq 1. These are the bar heights drawn in panel C."
rank,bones_linked,share_p_i,log2_p_i_N
1,18,0.0184237462,2.314526
2,17,0.0174002047,2.232064
3,16,0.0163766633,2.144601
4,15,0.0153531218,2.051491
5,14,0.0143295803,1.951956
6,14,0.0143295803,1.951956
7,13,0.0133060389,1.845041
8,12,0.0122824974,1.729563
9,12,0.0122824974,1.729563
10,12,0.0122824974,1.729563
11,12,0.0122824974,1.729563
12,11,0.0112589560,1.604032
13,11,0.0112589560,1.604032
14,11,0.0112589560,1.604032
15,10,0.0102354145,1.466529
16,10,0.0102354145,1.466529
17,10,0.0102354145,1.466529
18,10,0.0102354145,1.466529
19,10,0.0102354145,1.466529
20,9,0.0092118731,1.314526
21,9,0.0092118731,1.314526
22,9,0.0092118731,1.314526
23,8,0.0081883316,1.144601
24,8,0.0081883316,1.144601
25,8,0.0081883316,1.144601
26,7,0.0071647902,0.951956
27,7,0.0071647902,0.951956
28,7,0.0071647902,0.951956
29,7,0.0071647902,0.951956
30,7,0.0071647902,0.951956
31,7,0.0071647902,0.951956
32,7,0.0071647902,0.951956
33,7,0.0071647902,0.951956
34,7,0.0071647902,0.951956
35,6,0.0061412487,0.729563
36,6,0.0061412487,0.729563
37,6,0.0061412487,0.729563
38,6,0.0061412487,0.729563
39,6,0.0061412487,0.729563
40,6,0.0061412487,0.729563
41,6,0.0061412487,0.729563
42,5,0.0051177073,0.466529
43,5,0.0051177073,0.466529
44,5,0.0051177073,0.466529
45,5,0.0051177073,0.466529
46,5,0.0051177073,0.466529
47,5,0.0051177073,0.466529
48,5,0.0051177073,0.466529
49,5,0.0051177073,0.466529
50,5,0.0051177073,0.466529
51,5,0.0051177073,0.466529
52,4,0.0040941658,0.144601
53,4,0.0040941658,0.144601
54,4,0.0040941658,0.144601
55,4,0.0040941658,0.144601
56,4,0.0040941658,0.144601
57,4,0.0040941658,0.144601
58,4,0.0040941658,0.144601
59,4,0.0040941658,0.144601
60,4,0.0040941658,0.144601
61,4,0.0040941658,0.144601
62,4,0.0040941658,0.144601
63,4,0.0040941658,0.144601
64,4,0.0040941658,0.144601
65,4,0.0040941658,0.144601
66,4,0.0040941658,0.144601
67,4,0.0040941658,0.144601
68,4,0.0040941658,0.144601
69,4,0.0040941658,0.144601
70,4,0.0040941658,0.144601
71,4,0.0040941658,0.144601
72,4,0.0040941658,0.144601
73,4,0.0040941658,0.144601
74,4,0.0040941658,0.144601
75,4,0.0040941658,0.144601
76,3,0.0030706244,-0.270437
77,3,0.0030706244,-0.270437
78,3,0.0030706244,-0.270437
79,3,0.0030706244,-0.270437
80,3,0.0030706244,-0.270437
81,3,0.0030706244,-0.270437
82,3,0.0030706244,-0.270437
83,3,0.0030706244,-0.270437
84,3,0.0030706244,-0.270437
85,3,0.0030706244,-0.270437
86,3,0.0030706244,-0.270437
87,3,0.0030706244,-0.270437
88,3,0.0030706244,-0.270437
89,3,0.0030706244,-0.270437
90,3,0.0030706244,-0.270437
91,3,0.0030706244,-0.270437
92,3,0.0030706244,-0.270437
93,3,0.0030706244,-0.270437
94,3,0.0030706244,-0.270437
95,3,0.0030706244,-0.270437
96,3,0.0030706244,-0.270437
97,3,0.0030706244,-0.270437
98,3,0.0030706244,-0.270437
99,3,0.0030706244,-0.270437
100,3,0.0030706244,-0.270437
101,3,0.0030706244,-0.270437
102,3,0.0030706244,-0.270437
103,3,0.0030706244,-0.270437
104,3,0.0030706244,-0.270437
105,3,0.0030706244,-0.270437
106,3,0.0030706244,-0.270437
107,3,0.0030706244,-0.270437
108,3,0.0030706244,-0.270437
109,3,0.0030706244,-0.270437
110,3,0.0030706244,-0.270437
111,3,0.0030706244,-0.270437
112,3,0.0030706244,-0.270437
113,3,0.0030706244,-0.270437
114,3,0.0030706244,-0.270437
115,3,0.0030706244,-0.270437
116,3,0.0030706244,-0.270437
117,3,0.0030706244,-0.270437
118,3,0.0030706244,-0.270437
119,3,0.0030706244,-0.270437
120,3,0.0030706244,-0.270437
121,3,0.0030706244,-0.270437
122,3,0.0030706244,-0.270437
123,2,0.0020470829,-0.855399
124,2,0.0020470829,-0.855399
125,2,0.0020470829,-0.855399
126,2,0.0020470829,-0.855399
127,2,0.0020470829,-0.855399
128,2,0.0020470829,-0.855399
129,2,0.0020470829,-0.855399
130,2,0.0020470829,-0.855399
131,2,0.0020470829,-0.855399
132,2,0.0020470829,-0.855399
133,2,0.0020470829,-0.855399
134,2,0.0020470829,-0.855399
135,2,0.0020470829,-0.855399
136,2,0.0020470829,-0.855399
137,2,0.0020470829,-0.855399
138,2,0.0020470829,-0.855399
139,2,0.0020470829,-0.855399
140,2,0.0020470829,-0.855399
141,2,0.0020470829,-0.855399
142,2,0.0020470829,-0.855399
143,2,0.0020470829,-0.855399
144,2,0.0020470829,-0.855399
145,2,0.0020470829,-0.855399
146,2,0.0020470829,-0.855399
147,2,0.0020470829,-0.855399
148,2,0.0020470829,-0.855399
149,2,0.0020470829,-0.855399
150,2,0.0020470829,-0.855399
