"# DERIVED. The authors' own random hypergraph null on the same 270 muscles,"
# drawn as the dashed line in panel C.
rank,bones_linked,share_p_i
1,8,0.0079051383
2,8,0.0079051383
3,8,0.0079051383
4,7,0.0069169960
5,7,0.0069169960
6,7,0.0069169960
7,7,0.0069169960
8,7,0.0069169960
9,7,0.0069169960
10,7,0.0069169960
11,7,0.0069169960
12,6,0.0059288538
13,6,0.0059288538
14,6,0.0059288538
15,6,0.0059288538
16,6,0.0059288538
17,6,0.0059288538
18,6,0.0059288538
19,6,0.0059288538
20,6,0.0059288538
21,6,0.0059288538
22,6,0.0059288538
23,6,0.0059288538
24,6,0.0059288538
25,6,0.0059288538
26,6,0.0059288538
27,6,0.0059288538
28,6,0.0059288538
29,6,0.0059288538
30,6,0.0059288538
31,5,0.0049407115
32,5,0.0049407115
33,5,0.0049407115
34,5,0.0049407115
35,5,0.0049407115
36,5,0.0049407115
37,5,0.0049407115
38,5,0.0049407115
39,5,0.0049407115
40,5,0.0049407115
41,5,0.0049407115
42,5,0.0049407115
43,5,0.0049407115
44,5,0.0049407115
45,5,0.0049407115
46,5,0.0049407115
47,5,0.0049407115
48,5,0.0049407115
49,5,0.0049407115
50,5,0.0049407115
51,5,0.0049407115
52,5,0.0049407115
53,5,0.0049407115
54,5,0.0049407115
55,5,0.0049407115
56,5,0.0049407115
57,5,0.0049407115
58,5,0.0049407115
59,5,0.0049407115
60,5,0.0049407115
61,5,0.0049407115
62,5,0.0049407115
63,5,0.0049407115
64,5,0.0049407115
65,5,0.0049407115
66,4,0.0039525692
67,4,0.0039525692
68,4,0.0039525692
69,4,0.0039525692
70,4,0.0039525692
71,4,0.0039525692
72,4,0.0039525692
73,4,0.0039525692
74,4,0.0039525692
75,4,0.0039525692
76,4,0.0039525692
77,4,0.0039525692
78,4,0.0039525692
79,4,0.0039525692
80,4,0.0039525692
81,4,0.0039525692
82,4,0.0039525692
83,4,0.0039525692
84,4,0.0039525692
85,4,0.0039525692
86,4,0.0039525692
87,4,0.0039525692
88,4,0.0039525692
89,4,0.0039525692
90,4,0.0039525692
91,4,0.0039525692
92,4,0.0039525692
93,4,0.0039525692
94,4,0.0039525692
95,4,0.0039525692
96,4,0.0039525692
97,4,0.0039525692
98,4,0.0039525692
99,4,0.0039525692
100,4,0.0039525692
101,4,0.0039525692
102,4,0.0039525692
103,4,0.0039525692
104,4,0.0039525692
105,4,0.0039525692
106,4,0.0039525692
107,4,0.0039525692
108,4,0.0039525692
109,4,0.0039525692
110,4,0.0039525692
111,4,0.0039525692
112,4,0.0039525692
113,4,0.0039525692
114,4,0.0039525692
115,4,0.0039525692
116,4,0.0039525692
117,4,0.0039525692
118,4,0.0039525692
119,4,0.0039525692
120,4,0.0039525692
121,4,0.0039525692
122,4,0.0039525692
123,4,0.0039525692
124,4,0.0039525692
125,4,0.0039525692
126,4,0.0039525692
127,4,0.0039525692
128,4,0.0039525692
129,4,0.0039525692
130,4,0.0039525692
131,4,0.0039525692
132,4,0.0039525692
133,4,0.0039525692
134,4,0.0039525692
135,4,0.0039525692
136,4,0.0039525692
137,4,0.0039525692
138,4,0.0039525692
139,4,0.0039525692
140,4,0.0039525692
141,4,0.0039525692
142,3,0.0029644269
143,3,0.0029644269
144,3,0.0029644269
145,3,0.0029644269
146,3,0.0029644269
147,3,0.0029644269
148,3,0.0029644269
149,3,0.0029644269
150,3,0.0029644269
151,3,0.0029644269
152,3,0.0029644269
153,3,0.0029644269
154,3,0.0029644269
155,3,0.0029644269
156,3,0.0029644269
157,3,0.0029644269
158,3,0.0029644269
159,3,0.0029644269
160,3,0.0029644269
161,3,0.0029644269
162,3,0.0029644269
163,3,0.0029644269
164,3,0.0029644269
165,3,0.0029644269
166,3,0.0029644269
167,3,0.0029644269
168,3,0.0029644269
169,3,0.0029644269
170,3,0.0029644269
171,3,0.0029644269
172,3,0.0029644269
173,3,0.0029644269
174,3,0.0029644269
175,3,0.0029644269
176,3,0.0029644269
177,3,0.0029644269
178,3,0.0029644269
179,3,0.0029644269
180,3,0.0029644269
181,3,0.0029644269
182,3,0.0029644269
183,3,0.0029644269
184,3,0.0029644269
185,3,0.0029644269
186,3,0.0029644269
187,3,0.0029644269
188,3,0.0029644269
189,3,0.0029644269
190,3,0.0029644269
191,3,0.0029644269
192,3,0.0029644269
193,3,0.0029644269
194,3,0.0029644269
195,3,0.0029644269
196,3,0.0029644269
197,3,0.0029644269
198,3,0.0029644269
199,3,0.0029644269
200,3,0.0029644269
201,3,0.0029644269
202,3,0.0029644269
203,3,0.0029644269
204,3,0.0029644269
205,3,0.0029644269
206,3,0.0029644269
207,3,0.0029644269
208,3,0.0029644269
209,3,0.0029644269
210,3,0.0029644269
211,3,0.0029644269
212,3,0.0029644269
213,3,0.0029644269
214,3,0.0029644269
215,3,0.0029644269
216,3,0.0029644269
217,3,0.0029644269
218,3,0.0029644269
219,3,0.0029644269
220,3,0.0029644269
221,3,0.0029644269
222,3,0.0029644269
223,2,0.0019762846
224,2,0.0019762846
225,2,0.0019762846
226,2,0.0019762846
227,2,0.0019762846
228,2,0.0019762846
229,2,0.0019762846
230,2,0.0019762846
231,2,0.0019762846
232,2,0.0019762846
233,2,0.0019762846
234,2,0.0019762846
235,2,0.0019762846
236,2,0.0019762846
237,2,0.0019762846
238,2,0.0019762846
239,2,0.0019762846
240,2,0.0019762846
241,2,0.0019762846
242,2,0.0019762846
243,2,0.0019762846
244,2,0.0019762846
245,2,0.0019762846
246,2,0.0019762846
247,2,0.0019762846
248,2,0.0019762846
249,2,0.0019762846
250,2,0.0019762846
251,2,0.0019762846
252,2,0.0019762846
253,2,0.0019762846
254,2,0.0019762846
255,2,0.0019762846
256,2,0.0019762846
257,2,0.0019762846
258,2,0.0019762846
259,2,0.0019762846
260,2,0.0019762846
261,2,0.0019762846
262,2,0.0019762846
263,2,0.0019762846
264,2,0.0019762846
265,2,0.0019762846
266,2,0.0019762846
267,2,0.0019762846
268,2,0.0019762846
269,2,0.0019762846
270,2,0.0019762846
