# DERIVED. Position centrality transcribed from the published tables named in
"# the source column. One row per position, and for basketball one row per"
# position per team because sixteen teams are reported separately.
# Centrality is as printed in each source and is not renormalised here.
# Panel A of Figure 4 uses this file.
sport,unit,position,centrality,source
Football,World Cup 2014 set,DM,0.49,Korte & Lames 2018
Football,World Cup 2014 set,OM,0.37,Korte & Lames 2018
Football,World Cup 2014 set,LM,0.32,Korte & Lames 2018
Football,World Cup 2014 set,RM,0.32,Korte & Lames 2018
Football,World Cup 2014 set,RCD,0.27,Korte & Lames 2018
Football,World Cup 2014 set,LCD,0.26,Korte & Lames 2018
Football,World Cup 2014 set,LD,0.26,Korte & Lames 2018
Football,World Cup 2014 set,RD,0.26,Korte & Lames 2018
Football,World Cup 2014 set,LF,0.21,Korte & Lames 2018
Football,World Cup 2014 set,RF,0.21,Korte & Lames 2018
Football,World Cup 2014 set,GK,0.13,Korte & Lames 2018
Handball,EHF 2018 set,C,0.95,"Korte & Lames 2019, J Hum Kinet 70:209-221"
Handball,EHF 2018 set,RB,0.86,"Korte & Lames 2019, J Hum Kinet 70:209-221"
Handball,EHF 2018 set,LB,0.85,"Korte & Lames 2019, J Hum Kinet 70:209-221"
Handball,EHF 2018 set,P,0.29,"Korte & Lames 2019, J Hum Kinet 70:209-221"
Handball,EHF 2018 set,RW,0.2,"Korte & Lames 2019, J Hum Kinet 70:209-221"
Handball,EHF 2018 set,LW,0.15,"Korte & Lames 2019, J Hum Kinet 70:209-221"
Basketball,Bobcats,PG,0.86,"Fewell et al. 2012, NBA 2010"
Basketball,Bobcats,SG,0.57,"Fewell et al. 2012, NBA 2010"
Basketball,Bobcats,SF,0.45,"Fewell et al. 2012, NBA 2010"
Basketball,Bobcats,PF,0.47,"Fewell et al. 2012, NBA 2010"
Basketball,Bobcats,CN,0.38,"Fewell et al. 2012, NBA 2010"
Basketball,Bucks,PG,0.87,"Fewell et al. 2012, NBA 2010"
Basketball,Bucks,SG,0.43,"Fewell et al. 2012, NBA 2010"
Basketball,Bucks,SF,0.5,"Fewell et al. 2012, NBA 2010"
Basketball,Bucks,PF,0.39,"Fewell et al. 2012, NBA 2010"
Basketball,Bucks,CN,0.35,"Fewell et al. 2012, NBA 2010"
Basketball,Bulls,PG,0.79,"Fewell et al. 2012, NBA 2010"
Basketball,Bulls,SG,0.47,"Fewell et al. 2012, NBA 2010"
Basketball,Bulls,SF,0.3,"Fewell et al. 2012, NBA 2010"
Basketball,Bulls,PF,0.23,"Fewell et al. 2012, NBA 2010"
Basketball,Bulls,CN,0.4,"Fewell et al. 2012, NBA 2010"
Basketball,Cavaliers,PG,0.66,"Fewell et al. 2012, NBA 2010"
Basketball,Cavaliers,SG,0.28,"Fewell et al. 2012, NBA 2010"
Basketball,Cavaliers,SF,0.79,"Fewell et al. 2012, NBA 2010"
Basketball,Cavaliers,PF,0.39,"Fewell et al. 2012, NBA 2010"
Basketball,Cavaliers,CN,0.37,"Fewell et al. 2012, NBA 2010"
Basketball,Celtics,PG,0.82,"Fewell et al. 2012, NBA 2010"
Basketball,Celtics,SG,0.48,"Fewell et al. 2012, NBA 2010"
Basketball,Celtics,SF,0.44,"Fewell et al. 2012, NBA 2010"
Basketball,Celtics,PF,0.49,"Fewell et al. 2012, NBA 2010"
Basketball,Celtics,CN,0.36,"Fewell et al. 2012, NBA 2010"
Basketball,Hawks,PG,0.7,"Fewell et al. 2012, NBA 2010"
Basketball,Hawks,SG,0.57,"Fewell et al. 2012, NBA 2010"
Basketball,Hawks,SF,0.29,"Fewell et al. 2012, NBA 2010"
Basketball,Hawks,PF,0.37,"Fewell et al. 2012, NBA 2010"
Basketball,Hawks,CN,0.39,"Fewell et al. 2012, NBA 2010"
Basketball,Heat,PG,0.66,"Fewell et al. 2012, NBA 2010"
Basketball,Heat,SG,0.68,"Fewell et al. 2012, NBA 2010"
Basketball,Heat,SF,0.57,"Fewell et al. 2012, NBA 2010"
Basketball,Heat,PF,0.43,"Fewell et al. 2012, NBA 2010"
Basketball,Heat,CN,0.34,"Fewell et al. 2012, NBA 2010"
Basketball,Magic,PG,0.84,"Fewell et al. 2012, NBA 2010"
Basketball,Magic,SG,0.48,"Fewell et al. 2012, NBA 2010"
Basketball,Magic,SF,0.32,"Fewell et al. 2012, NBA 2010"
Basketball,Magic,PF,0.38,"Fewell et al. 2012, NBA 2010"
Basketball,Magic,CN,0.37,"Fewell et al. 2012, NBA 2010"
Basketball,Blazers,PG,0.9,"Fewell et al. 2012, NBA 2010"
Basketball,Blazers,SG,0.52,"Fewell et al. 2012, NBA 2010"
Basketball,Blazers,SF,0.44,"Fewell et al. 2012, NBA 2010"
Basketball,Blazers,PF,0.49,"Fewell et al. 2012, NBA 2010"
Basketball,Blazers,CN,0.47,"Fewell et al. 2012, NBA 2010"
Basketball,Jazz,PG,0.91,"Fewell et al. 2012, NBA 2010"
Basketball,Jazz,SG,0.36,"Fewell et al. 2012, NBA 2010"
Basketball,Jazz,SF,0.43,"Fewell et al. 2012, NBA 2010"
Basketball,Jazz,PF,0.52,"Fewell et al. 2012, NBA 2010"
Basketball,Jazz,CN,0.12,"Fewell et al. 2012, NBA 2010"
Basketball,Lakers,PG,0.7,"Fewell et al. 2012, NBA 2010"
Basketball,Lakers,SG,0.72,"Fewell et al. 2012, NBA 2010"
Basketball,Lakers,SF,0.56,"Fewell et al. 2012, NBA 2010"
Basketball,Lakers,PF,0.53,"Fewell et al. 2012, NBA 2010"
Basketball,Lakers,CN,0.47,"Fewell et al. 2012, NBA 2010"
Basketball,Mavericks,PG,0.83,"Fewell et al. 2012, NBA 2010"
Basketball,Mavericks,SG,0.51,"Fewell et al. 2012, NBA 2010"
